"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Contact TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","Scan List","Receive Group List","PTT Prohibit","Reverse","Simplex TDMA","Slot Suit","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around(Simplex)","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Through Mode","Digi APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude channel from roaming","DMR MODE","DataACK Disable","R5toneBot","R5ToneEot"
"1","NATL APRS","144.39000","144.39000","A-Analog","Turbo","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Analog","1","0","Off","0","1","0","100","100"
"2","N-Simplex","146.52000","146.52000","A-Analog","Turbo","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","1","1","Lufkin A-Locals","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","100","100"
"3","ANG-940","146.94000","146.34000","A-Analog","Turbo","25K","141.3","141.3","World-wide","Group Call","91","Danny","Off","CTCSS/DCS","Off","1","1","1","Off","1","1","Lufkin A-Locals","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"4","ANG-26","147.26000","147.86000","A-Analog","High","25K","141.3","141.3","World-wide","Group Call","91","Danny","Off","CTCSS/DCS","Off","1","1","1","Off","1","1","Lufkin A-Locals","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"5","Rusk-25","145.25000","144.65000","A-Analog","High","25K","131.8","131.8","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","1","1","Lufkin A-Locals","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"6","Jack-38","147.38000","147.98000","A-Analog","High","25K","136.5","136.5","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","1","1","Lufkin A-Locals","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"7","Tyler-21","145.21000","144.46000","A-Analog","High","25K","136.5","136.5","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","1","1","Lufkin A-Locals","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"8","Tyler-37","145.37000","144.77000","A-Analog","High","25K","136.5","136.5","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","1","1","Lufkin A-Locals","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"9","Tyler-96","146.96000","146.36000","A-Analog","High","25K","88.5","136.5","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","1","1","Lufkin A-Locals","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"11","ISS Voice 10","437.81000","145.99000","A-Analog","Turbo","25K","Off","67.0","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0"
